DATAFLOW;FREQ;TIME_PERIOD;REF_AREA;INDICATOR;ACTIVITY;NUMBER_EMPL;PRODUCT;TURNOVER;CLIENT_RESIDENCE;OBS_VALUE;UNIT_MEASURE;UNIT_MULT;DECIMALS;OBS_STATUS;OBS_STATUS_1;CONF_STATUS;CONF_STATUS_1;DOMINANCE;SHARE_SECOND;COMMENT_OBS
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C17;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C171;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C172;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C18;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C181;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C182;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C19;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C191;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C192;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C20;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C201;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C202;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C203;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C204;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C205;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C206;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C21;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C211;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C212;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C22;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C221;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C222;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C23;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C231;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C232;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C233;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C234;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C235;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C236;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C237;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C239;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C24;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C241;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C242;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C243;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C244;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C245;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C25;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C251;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C252;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C253;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C254;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C255;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C256;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C257;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C259;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C26;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C261;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C262;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C263;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C264;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C265;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C266;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C267;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C268;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C27;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C271;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C272;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C273;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C274;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C275;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C279;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C28;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C281;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C282;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C283;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C284;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C289;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C29;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C291;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C292;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;C293;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
